"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TUBA1B.11",1.39193036199899e-21,0.67357944944982,0.742,0.493,4.66825604807222e-17,"C21","TUBA1B"
"MED8.1",1.58001097175506e-21,0.545126265021423,0.416,0.178,5.29904079707211e-17,"C21","MED8"
"BID.3",1.61122386410134e-21,0.681874864316076,0.443,0.207,5.40372259542308e-17,"C21","BID"
"PYURF.7",1.69115188035932e-21,-0.779063424822895,0.222,0.533,5.67178517634908e-17,"C21","PYURF"
"ATP1B1",1.87371151961593e-21,0.307473420234568,0.131,0.027,6.28405369448792e-17,"C21","ATP1B1"
"EPB41.7",2.00675082421761e-21,-0.868072029202722,0.081,0.395,6.73024091426103e-17,"C21","EPB41"
"CD151.4",2.11660873330182e-21,0.520928497434652,0.412,0.176,7.09868236974764e-17,"C21","CD151"
"RBPJ.11",2.23094738095977e-21,0.751345012999346,0.507,0.251,7.48215132626289e-17,"C21","RBPJ"
"SEC61G.9",3.0361791509507e-21,0.842959048084062,0.801,0.695,1.01827376364585e-16,"C21","SEC61G"
"CYFIP2.6",3.04392394381326e-21,-0.804900442383612,0.077,0.389,1.02087121227609e-16,"C21","CYFIP2"
"CST7.18",3.33528139106465e-21,-1.95446765613652,0.154,0.459,1.11858667293526e-16,"C21","CST7"
"AC020916.1.5",3.34475190917207e-21,0.342559668880116,0.186,0.048,1.12176289529813e-16,"C21","AC020916.1"
"ARGLU1.3",3.48639889136814e-21,-0.680311836022038,0.348,0.64,1.16926846018705e-16,"C21","ARGLU1"
"PRF1.17",3.84345777469535e-21,-1.91468943083926,0.059,0.364,1.28901886847733e-16,"C21","PRF1"
"RNF167.11",4.48961307740132e-21,-0.821007660454954,0.19,0.485,1.50572643389886e-16,"C21","RNF167"
"ACSL4.2",4.66076191846987e-21,0.485218411345676,0.299,0.105,1.56312633221643e-16,"C21","ACSL4"
"GNG2.13",4.7139821474982e-21,-0.936212326381842,0.149,0.457,1.58097533262795e-16,"C21","GNG2"
"SH2D2A.18",4.98850324778875e-21,-0.941212536764613,0.077,0.393,1.67304421924339e-16,"C21","SH2D2A"
"HMOX2.6",4.99834074284733e-21,-0.808701625446497,0.195,0.482,1.67634351833614e-16,"C21","HMOX2"
"YWHAE.7",5.09091171390357e-21,0.620516975792785,0.597,0.324,1.70738997060898e-16,"C21","YWHAE"
"MT-ND6.9",5.96025909626912e-21,-1.10159355181801,0.154,0.46,1.99895169570674e-16,"C21","MT-ND6"
"TMEM38B.1",6.2019763738098e-21,0.365010886418965,0.235,0.072,2.08001883624833e-16,"C21","TMEM38B"
"HEBP1.2",6.61355070237288e-21,0.45275717447136,0.326,0.121,2.21805263456182e-16,"C21","HEBP1"
"PPP2R5C.10",6.87825662269425e-21,-0.838553305697917,0.172,0.483,2.3068297061192e-16,"C21","PPP2R5C"
"H3F3A.13",6.90925074290674e-21,0.495313838142275,0.968,0.963,2.31722451415606e-16,"C21","H3F3A"
"UBE2D2.4",6.9782792258905e-21,-0.667483528425431,0.561,0.783,2.34037528677916e-16,"C21","UBE2D2"
"ABHD5.2",7.15124527465417e-21,0.44445921330013,0.226,0.068,2.39838464021352e-16,"C21","ABHD5"
"EIF1.4",7.53942143590455e-21,0.486945030751506,0.986,0.987,2.52857116117367e-16,"C21","EIF1"
"MYDGF.7",7.82357082739431e-21,0.883079448000747,0.624,0.423,2.6238691840915e-16,"C21","MYDGF"
"UBE2A.8",9.30160941225052e-21,0.76346260491069,0.57,0.308,3.11957376468058e-16,"C21","UBE2A"
"RASGRP2.10",9.43548736165646e-21,-0.755491238185562,0.104,0.413,3.16447375135234e-16,"C21","RASGRP2"
"PRKCH.9",9.73363789011727e-21,-0.778844251846741,0.059,0.371,3.26446747558753e-16,"C21","PRKCH"
"ATF5.3",1.11908581590239e-20,0.445286910028518,0.253,0.081,3.75319000937343e-16,"C21","ATF5"
"TRAPPC1.8",1.16049807797175e-20,-0.711131631926109,0.466,0.691,3.89207845390166e-16,"C21","TRAPPC1"
"TSC22D3.16",1.34290731054348e-20,-1.0008756821551,0.552,0.76,4.50384253810073e-16,"C21","TSC22D3"
"ME2.1",1.41606075534493e-20,0.701554410314201,0.412,0.188,4.74918456127582e-16,"C21","ME2"
"SPN.12",1.48680497188319e-20,-0.889072450972972,0.09,0.391,4.98644651470183e-16,"C21","SPN"
"NEU1.3",1.71599283365862e-20,0.567751506648595,0.326,0.123,5.75509676552427e-16,"C21","NEU1"
"EAF1",1.83393221163803e-20,0.451382210174903,0.231,0.072,6.15064185139163e-16,"C21","EAF1"
"ARID3A.2",1.93573775309795e-20,0.322973432304581,0.113,0.022,6.49207727633992e-16,"C21","ARID3A"
"KLRB1.15",2.10510965807824e-20,-1.47114158584836,0.045,0.346,7.0601167712628e-16,"C21","KLRB1"
"TAF15.6",2.71263115969366e-20,-0.824375555004812,0.172,0.473,9.09762238338059e-16,"C21","TAF15"
"IL18BP.1",2.73123284342142e-20,0.421325439763116,0.226,0.069,9.16000871026676e-16,"C21","IL18BP"
"MYC.15",2.7763597965917e-20,-1.04294692860814,0.086,0.387,9.31135548580925e-16,"C21","MYC"
"CDKN1B.7",2.98037506541482e-20,-0.8440127209989,0.167,0.463,9.99558189438823e-16,"C21","CDKN1B"
"CARD19.2",3.32501919083659e-20,0.574407583837475,0.385,0.161,1.11514493622278e-15,"C21","CARD19"
"CDC42SE2.5",3.36486336663263e-20,-0.821689878152654,0.154,0.461,1.12850787590125e-15,"C21","CDC42SE2"
"RAB5C.5",3.42459526198408e-20,0.707366191146952,0.719,0.511,1.14854075896422e-15,"C21","RAB5C"
"IRAK1.1",3.73536072853011e-20,0.349580289272229,0.176,0.046,1.25276528113443e-15,"C21","IRAK1"
"RHOC.12",3.83035976381619e-20,0.619629403918465,0.394,0.163,1.28462605758867e-15,"C21","RHOC"
"CELF2.6",4.18432619342296e-20,-0.796483124717575,0.204,0.503,1.40333931875019e-15,"C21","CELF2"
"PPP1CA.15",4.22435284724865e-20,-0.733004759990891,0.561,0.759,1.41676345791025e-15,"C21","PPP1CA"
